"Number of groups incl. import",17
"Number of predators",12
Prey/Pred,"Zooplancton","Benthos","Insects","Cyphocharax_magdalenae","Megaleporinus_muyscorum","Pseudoplatystoma_magdaleniatum","Sorubim_cuspicaudus","Triportheus_magdalenae","Prochilodus_magdalenae","Otros_detritívoros","Otros_carnívoros-insectivoros","Otros_omnívoros"
"Zooplancton",0,0,0,0,0.03,0,0,0.18,0,0,0,0.02
"Benthos",0,0,0,0.16,0.09,0.04,0.14,0.18,0.08,0.21,0.34,0.36
"Insects",0,0,0,0,0.04,0,0.01,0.52,0,0.08,0.4,0.47
"Cyphocharax_magdalenae",0,0,0,0,0,0.14,0.12,0,0,0,0,0
"Megaleporinus_muyscorum",0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoplatystoma_magdaleniatum",0,0,0,0,0,0,0,0,0,0,0,0
"Sorubim_cuspicaudus",0,0,0,0,0,0,0,0,0,0,0,0
"Triportheus_magdalenae",0,0,0,0,0,0.06,0.02,0,0,0,0,0
"Prochilodus_magdalenae",0,0,0,0,0,0.3,0.26,0,0,0,0,0
"Otros_detritívoros",0,0,0,0,0.01,0,0,0,0,0,0,0
"Otros_carnívoros-insectivoros",0,0,0,0,0.01,0.14,0.14,0,0,0,0,0
"Otros_omnívoros",0,0,0,0,0.01,0.27,0.25,0,0,0,0,0
"Periphyton",0,0.5,0,0.22,0.23,0,0,0,0.32,0.17,0,0
"Fitoplancton",0.5,0,0,0.09,0.14,0.02,0.02,0.12,0.12,0.09,0,0.02
"Macrofitas",0,0,0.3,0,0.34,0,0,0,0,0.01,0.07,0
Detritus,0.5,0.5,0.7,0.53,0.1,0.03,0.04,0,0.48,0.44,0.19,0.13
Import,0,0,0,0,0,0,0,0,0,0,0,0
