Number_of_groups,16
Number_of_predators,12
Prey/Pred,Benthos,Insects,Cyphocharax_magdalenae,Megaleporinus_muyscorum,Pseudoplatystoma_magdaleniatum,Sorubim_cuspicaudus,Triportheus_magdalenae,Prochilodus_magdalenae,Otros_detritívoros,Otros_carnívoros-insectivoros,Otros_omnívoros,Zooplancton
Benthos,-999,-999,2,2,2,2,2,2,2,2,2,-999
Insects,-999,-999,-999,2,-999,2,2,-999,2,2,2,-999
Cyphocharax_magdalenae,-999,-999,-999,-999,2,2,-999,-999,-999,-999,-999,-999
Megaleporinus_muyscorum,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Pseudoplatystoma_magdaleniatum,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sorubim_cuspicaudus,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Triportheus_magdalenae,-999,-999,-999,-999,2,2,-999,-999,-999,-999,-999,-999
Prochilodus_magdalenae,-999,-999,-999,-999,2,2,-999,-999,-999,-999,-999,-999
Otros_detritívoros,-999,-999,-999,2,-999,-999,-999,-999,-999,-999,-999,-999
Otros_carnívoros-insectivoros,-999,-999,-999,2,2,2,-999,-999,-999,-999,-999,-999
Otros_omnívoros,-999,-999,-999,2,2,2,-999,-999,-999,-999,-999,-999
Zooplancton,-999,-999,-999,2,-999,-999,2,-999,-999,-999,2,-999
Periphyton,2,-999,2,2,-999,-999,-999,2,2,-999,-999,-999
Macrofitas,-999,2,-999,2,-999,-999,-999,-999,2,2,-999,-999
Fitoplancton,-999,-999,2,2,2,2,2,2,2,-999,2,2
Detritus,2,2,2,2,2,2,-999,2,2,2,2,2
