T	SL(1)	Q(2)	TR(1,1)	TR(2,1)
s	m	m3/s	g/l	g/l
0	10.341	824.439	0	0.0
60	10.341	852.439	0	0.0
120	10.341	880.439	0	0.0
180	10.341	908.439	0	0.0
240	10.341	936.439	0	0.0
300	10.341	964.439	0	0.0
360	10.341	992.439	0	0.000099
420	10.341	1020.439	0	0.000304
480	10.341	1048.439	0	0.000862
540	10.341	1076.439	0	0.002279
600	10.341	1104.439	0	0.005606
660	10.341	1132.439	0	0.012830
720	10.341	1160.439	0	0.027324
780	10.341	1188.439	0	0.054150
840	10.341	1216.439	0	0.099859
900	10.341	1244.439	0	0.171358
960	10.341	1272.439	0	0.273624
1020	10.341	1300.439	0	0.406570
1080	10.341	1328.439	0	0.562142
1140	10.341	1356.439	0	0.723250
1200	10.341	1384.439	0	0.865888
1260	10.341	1412.439	0	0.964640
1320	10.341	1440.439	0	1.000000
1380	10.341	1468.439	0	0.964640
1440	10.341	1496.439	0	0.865888
1500	10.341	1524.439	0	0.723250
1560	10.341	1552.439	0	0.562142
1620	10.341	1580.439	0	0.406570
1680	10.341	1608.439	0	0.273624
1740	10.341	1636.439	0	0.171358
1800	10.341	1664.439	0	0.099859
1860	10.341	1692.439	0	0.054150
1920	10.341	1720.439	0	0.027324
1980	10.341	1748.439	0	0.012830
2040	10.341	1776.439	0	0.005606
2100	10.341	1804.439	0	0.002279
2160	10.341	1832.439	0	0.000862
2220	10.341	1860.439	0	0.000304
2280	10.341	1888.439	0	0.000099
2340	10.341	1916.439	0	0.000030
2400	10.341	1944.439	0	0.0
2460	10.341	1972.439	0	0.0
2520	10.341	2000.439	0	0.0
2580	10.341	2028.439	0	0.0
2640	10.341	2056.439	0	0.0
2700	10.341	2084.439	0	0.0
2760	10.341	2112.439	0	0.0
2820	10.341	2140.439	0	0.0
2880	10.341	2168.439	0	0.0
2940	10.341	2196.439	0	0.0
3000	10.341	2224.439	0	0.0
3060	10.341	2252.439	0	0.0
3120	10.341	2280.439	0	0.0
3180	10.341	2308.439	0	0.0
3240	10.341	2336.439	0	0.0
3300	10.341	2364.439	0	0.0
3360	10.341	2392.439	0	0.0
3420	10.341	2420.439	0	0.0
3480	10.341	2448.439	0	0.0
3540	10.341	2476.439	0	0.0
3600	10.341	2504.439	0	0.0
3660	10.341	2532.439	0	0.0
3720	10.341	2560.439	0	0.0
3780	10.341	2588.439	0	0.0
3840	10.341	2616.439	0	0.0
3900	10.341	2644.439	0	0.0


