T	SL(1)	Q(2)
s	m	m3/s
0	10.341	824.439
60	10.341	852.439
120	10.341	880.439
180	10.341	908.439
240	10.341	936.439
300	10.341	964.439
360	10.341	992.439
420	10.341	1020.439
480	10.341	1048.439
540	10.341	1076.439
600	10.341	1104.439
660	10.341	1132.439
720	10.341	1160.439
780	10.341	1188.439
840	10.341	1216.439
900	10.341	1244.439
960	10.341	1272.439
1020	10.341	1300.439
1080	10.341	1328.439
1140	10.341	1356.439
1200	10.341	1384.439
1260	10.341	1412.439
1320	10.341	1440.439
1380	10.341	1468.439
1440	10.341	1496.439
1500	10.341	1524.439
1560	10.341	1552.439
1620	10.341	1580.439
1680	10.341	1608.439
1740	10.341	1636.439
1800	10.341	1664.439
1860	10.341	1692.439
1920	10.341	1720.439
1980	10.341	1748.439
2040	10.341	1776.439
2100	10.341	1804.439
2160	10.341	1832.439
2220	10.341	1860.439
2280	10.341	1888.439
2340	10.341	1916.439
2400	10.341	1944.439
2460	10.341	1972.439
2520	10.341	2000.439
2580	10.341	2028.439
2640	10.341	2056.439
2700	10.341	2084.439
2760	10.341	2112.439
2820	10.341	2140.439
2880	10.341	2168.439
2940	10.341	2196.439
3000	10.341	2224.439
3060	10.341	2252.439
3120	10.341	2280.439
3180	10.341	2308.439
3240	10.341	2336.439
3300	10.341	2364.439
3360	10.341	2392.439
3420	10.341	2420.439
3480	10.341	2448.439
3540	10.341	2476.439
3600	10.341	2504.439
3660	10.341	2532.439
3720	10.341	2560.439
3780	10.341	2588.439
3840	10.341	2616.439
3900	10.341	2644.439

