T CG(1) CG(2)
s g/l g/l
0 0 0.0
60 0 0.0
120 0 0.0
180 0 0.0
240 0 0.0
300 0 0.0
360 0 0.000099
420 0 0.000304
480 0 0.000862
540 0 0.002279
600 0 0.005606
660 0 0.012830
720 0 0.027324
780 0 0.054150
840 0 0.099859
900 0 0.171358
960 0 0.273624
1020 0 0.406570
1080 0 0.562142
1140 0 0.723250
1200 0 0.865888
1260 0 0.964640
1320 0 1.000000
1380 0 0.964640
1440 0 0.865888
1500 0 0.723250
1560 0 0.562142
1620 0 0.406570
1680 0 0.273624
1740 0 0.171358
1800 0 0.099859
1860 0 0.054150
1920 0 0.027324
1980 0 0.012830
2040 0 0.005606
2100 0 0.002279
2160 0 0.000862
2220 0 0.000304
2280 0 0.000099
2340 0 0.000030
2400 0 0.0
2460 0 0.0
2520 0 0.0
2580 0 0.0
2640 0 0.0
2700 0 0.0
2760 0 0.0
2820 0 0.0
2880 0 0.0
2940 0 0.0
3000 0 0.0
3060 0 0.0
3120 0 0.0
3180 0 0.0
3240 0 0.0
3300 0 0.0
3360 0 0.0
3420 0 0.0
3480 0 0.0
3540 0 0.0
3600 0 0.0
3660 0 0.0
3720 0 0.0
3780 0 0.0
3840 0 0.0
3900 0 0.0

