X,Y,BOOL_ECO,ID
2765.1437988281,3793.8395996094,0,1
2765.1437988281,3793.3395996094,0,2
2765.1437988281,3792.8395996094,0,3
2765.1437988281,3792.3395996094,0,4
2765.1437988281,3791.8395996094,0,5
2765.1437988281,3791.3395996094,0,6
2765.1437988281,3790.8395996094,0,7
2765.1437988281,3790.3395996094,0,8
2765.1437988281,3789.8395996094,0,9
2765.1437988281,3789.3395996094,0,10
2765.1437988281,3788.8395996094,0,11
2765.1437988281,3788.3395996094,0,12
2765.1437988281,3787.8395996094,0,13
2765.1437988281,3787.3395996094,0,14
2765.1437988281,3786.8395996094,0,15
2765.1437988281,3786.3395996094,0,16
2765.1437988281,3785.8395996094,0,17
2765.1437988281,3785.3395996094,0,18
2765.1437988281,3784.8395996094,0,19
2765.1437988281,3784.3395996094,0,20
2765.6437988281,3793.8395996094,0,21
2765.6437988281,3793.3395996094,1,22
2765.6437988281,3792.8395996094,1,23
2765.6437988281,3792.3395996094,1,24
2765.6437988281,3791.8395996094,1,25
2765.6437988281,3791.3395996094,1,26
2765.6437988281,3790.8395996094,0,27
2765.6437988281,3790.3395996094,0,28
2765.6437988281,3789.8395996094,0,29
2765.6437988281,3789.3395996094,0,30
2765.6437988281,3788.8395996094,0,31
2765.6437988281,3788.3395996094,0,32
2765.6437988281,3787.8395996094,0,33
2765.6437988281,3787.3395996094,0,34
2765.6437988281,3786.8395996094,0,35
2765.6437988281,3786.3395996094,0,36
2765.6437988281,3785.8395996094,0,37
2765.6437988281,3785.3395996094,0,38
2765.6437988281,3784.8395996094,0,39
2765.6437988281,3784.3395996094,0,40
2766.1437988281,3793.8395996094,0,41
2766.1437988281,3793.3395996094,1,42
2766.1437988281,3792.8395996094,1,43
2766.1437988281,3792.3395996094,1,44
2766.1437988281,3791.8395996094,1,45
2766.1437988281,3791.3395996094,1,46
2766.1437988281,3790.8395996094,0,47
2766.1437988281,3790.3395996094,0,48
2766.1437988281,3789.8395996094,0,49
2766.1437988281,3789.3395996094,0,50
2766.1437988281,3788.8395996094,0,51
2766.1437988281,3788.3395996094,0,52
2766.1437988281,3787.8395996094,0,53
2766.1437988281,3787.3395996094,0,54
2766.1437988281,3786.8395996094,0,55
2766.1437988281,3786.3395996094,0,56
2766.1437988281,3785.8395996094,0,57
2766.1437988281,3785.3395996094,0,58
2766.1437988281,3784.8395996094,0,59
2766.1437988281,3784.3395996094,0,60
2766.6437988281,3793.8395996094,0,61
2766.6437988281,3793.3395996094,1,62
2766.6437988281,3792.8395996094,1,63
2766.6437988281,3792.3395996094,1,64
2766.6437988281,3791.8395996094,1,65
2766.6437988281,3791.3395996094,1,66
2766.6437988281,3790.8395996094,0,67
2766.6437988281,3790.3395996094,0,68
2766.6437988281,3789.8395996094,0,69
2766.6437988281,3789.3395996094,0,70
2766.6437988281,3788.8395996094,0,71
2766.6437988281,3788.3395996094,1,72
2766.6437988281,3787.8395996094,1,73
2766.6437988281,3787.3395996094,1,74
2766.6437988281,3786.8395996094,1,75
2766.6437988281,3786.3395996094,1,76
2766.6437988281,3785.8395996094,1,77
2766.6437988281,3785.3395996094,1,78
2766.6437988281,3784.8395996094,1,79
2766.6437988281,3784.3395996094,0,80
2767.1437988281,3793.8395996094,0,81
2767.1437988281,3793.3395996094,1,82
2767.1437988281,3792.8395996094,1,83
2767.1437988281,3792.3395996094,1,84
2767.1437988281,3791.8395996094,1,85
2767.1437988281,3791.3395996094,1,86
2767.1437988281,3790.8395996094,0,87
2767.1437988281,3790.3395996094,0,88
2767.1437988281,3789.8395996094,0,89
2767.1437988281,3789.3395996094,0,90
2767.1437988281,3788.8395996094,0,91
2767.1437988281,3788.3395996094,1,92
2767.1437988281,3787.8395996094,1,93
2767.1437988281,3787.3395996094,1,94
2767.1437988281,3786.8395996094,1,95
2767.1437988281,3786.3395996094,1,96
2767.1437988281,3785.8395996094,1,97
2767.1437988281,3785.3395996094,1,98
2767.1437988281,3784.8395996094,1,99
2767.1437988281,3784.3395996094,0,100
2767.6437988281,3793.8395996094,0,101
2767.6437988281,3793.3395996094,1,102
2767.6437988281,3792.8395996094,1,103
2767.6437988281,3792.3395996094,1,104
2767.6437988281,3791.8395996094,1,105
2767.6437988281,3791.3395996094,1,106
2767.6437988281,3790.8395996094,0,107
2767.6437988281,3790.3395996094,0,108
2767.6437988281,3789.8395996094,0,109
2767.6437988281,3789.3395996094,0,110
2767.6437988281,3788.8395996094,0,111
2767.6437988281,3788.3395996094,1,112
2767.6437988281,3787.8395996094,1,113
2767.6437988281,3787.3395996094,1,114
2767.6437988281,3786.8395996094,1,115
2767.6437988281,3786.3395996094,1,116
2767.6437988281,3785.8395996094,1,117
2767.6437988281,3785.3395996094,1,118
2767.6437988281,3784.8395996094,1,119
2767.6437988281,3784.3395996094,0,120
2768.1437988281,3793.8395996094,0,121
2768.1437988281,3793.3395996094,1,122
2768.1437988281,3792.8395996094,1,123
2768.1437988281,3792.3395996094,1,124
2768.1437988281,3791.8395996094,1,125
2768.1437988281,3791.3395996094,1,126
2768.1437988281,3790.8395996094,0,127
2768.1437988281,3790.3395996094,0,128
2768.1437988281,3789.8395996094,0,129
2768.1437988281,3789.3395996094,0,130
2768.1437988281,3788.8395996094,0,131
2768.1437988281,3788.3395996094,1,132
2768.1437988281,3787.8395996094,1,133
2768.1437988281,3787.3395996094,1,134
2768.1437988281,3786.8395996094,1,135
2768.1437988281,3786.3395996094,1,136
2768.1437988281,3785.8395996094,1,137
2768.1437988281,3785.3395996094,1,138
2768.1437988281,3784.8395996094,1,139
2768.1437988281,3784.3395996094,0,140
2768.6437988281,3793.8395996094,0,141
2768.6437988281,3793.3395996094,1,142
2768.6437988281,3792.8395996094,1,143
2768.6437988281,3792.3395996094,1,144
2768.6437988281,3791.8395996094,1,145
2768.6437988281,3791.3395996094,1,146
2768.6437988281,3790.8395996094,0,147
2768.6437988281,3790.3395996094,0,148
2768.6437988281,3789.8395996094,0,149
2768.6437988281,3789.3395996094,0,150
2768.6437988281,3788.8395996094,0,151
2768.6437988281,3788.3395996094,1,152
2768.6437988281,3787.8395996094,1,153
2768.6437988281,3787.3395996094,1,154
2768.6437988281,3786.8395996094,1,155
2768.6437988281,3786.3395996094,1,156
2768.6437988281,3785.8395996094,1,157
2768.6437988281,3785.3395996094,1,158
2768.6437988281,3784.8395996094,1,159
2768.6437988281,3784.3395996094,0,160
2769.1437988281,3793.8395996094,0,161
2769.1437988281,3793.3395996094,1,162
2769.1437988281,3792.8395996094,1,163
2769.1437988281,3792.3395996094,1,164
2769.1437988281,3791.8395996094,1,165
2769.1437988281,3791.3395996094,1,166
2769.1437988281,3790.8395996094,1,167
2769.1437988281,3790.3395996094,0,168
2769.1437988281,3789.8395996094,0,169
2769.1437988281,3789.3395996094,0,170
2769.1437988281,3788.8395996094,0,171
2769.1437988281,3788.3395996094,1,172
2769.1437988281,3787.8395996094,1,173
2769.1437988281,3787.3395996094,1,174
2769.1437988281,3786.8395996094,1,175
2769.1437988281,3786.3395996094,1,176
2769.1437988281,3785.8395996094,1,177
2769.1437988281,3785.3395996094,1,178
2769.1437988281,3784.8395996094,1,179
2769.1437988281,3784.3395996094,0,180
2769.6437988281,3793.8395996094,0,181
2769.6437988281,3793.3395996094,1,182
2769.6437988281,3792.8395996094,1,183
2769.6437988281,3792.3395996094,1,184
2769.6437988281,3791.8395996094,1,185
2769.6437988281,3791.3395996094,1,186
2769.6437988281,3790.8395996094,1,187
2769.6437988281,3790.3395996094,1,188
2769.6437988281,3789.8395996094,1,189
2769.6437988281,3789.3395996094,1,190
2769.6437988281,3788.8395996094,1,191
2769.6437988281,3788.3395996094,1,192
2769.6437988281,3787.8395996094,1,193
2769.6437988281,3787.3395996094,1,194
2769.6437988281,3786.8395996094,1,195
2769.6437988281,3786.3395996094,1,196
2769.6437988281,3785.8395996094,1,197
2769.6437988281,3785.3395996094,1,198
2769.6437988281,3784.8395996094,1,199
2769.6437988281,3784.3395996094,0,200
2770.1437988281,3793.8395996094,0,201
2770.1437988281,3793.3395996094,1,202
2770.1437988281,3792.8395996094,1,203
2770.1437988281,3792.3395996094,1,204
2770.1437988281,3791.8395996094,1,205
2770.1437988281,3791.3395996094,1,206
2770.1437988281,3790.8395996094,1,207
2770.1437988281,3790.3395996094,1,208
2770.1437988281,3789.8395996094,1,209
2770.1437988281,3789.3395996094,1,210
2770.1437988281,3788.8395996094,1,211
2770.1437988281,3788.3395996094,1,212
2770.1437988281,3787.8395996094,1,213
2770.1437988281,3787.3395996094,1,214
2770.1437988281,3786.8395996094,1,215
2770.1437988281,3786.3395996094,1,216
2770.1437988281,3785.8395996094,1,217
2770.1437988281,3785.3395996094,1,218
2770.1437988281,3784.8395996094,1,219
2770.1437988281,3784.3395996094,0,220
2770.6437988281,3793.8395996094,0,221
