"Number of groups",22,,,,,,,,,,,,,,,,,,
"Number of predators",19,,,,,,,,,,,,,,,,,,
Prey/Pred,Dolphins,Bonito,Bluefish,"A. Mackerel",Whiting,Turbot,"R. Mullet",Dogfish,"H. Mackerel",Shad,Sprat,"Anchovy 0-0+","Anchovy 1-1+",Aurelia,Beroe,Mnemiopsis,Pleurobrachia,Noctiluca,Zooplankton
Dolphins,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bonito,2.541453,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Bluefish,14.60448,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"A. Mackerel",1.382628,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Whiting,13873.64,-999,-999,-999,-999,-999,-999,4.916975,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Turbot,-999,-999,-999,-999,1.000005,-999,-999,1.004082,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"R. Mullet",-999,-999,-999,-999,1.139548,1.219911,1.467903,1.127225,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Dogfish,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"H. Mackerel",4.636346,1.019301,1.216301,1.144709,-999,-999,-999,26.02391,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Shad,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Sprat,223.5041,67.76866,306.3394,9.760112,14731.61,1.000031,-999,17.65258,1.048123,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Anchovy 0-0+",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.897844,-999,-999,-999
"Anchovy 1-1+",748.8078,1615.325,1.623206,1.160011,20.31288,-999,-999,7.733124,1.326412,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aurelia,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Beroe,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Mnemiopsis,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.058769,-999,-999,-999,-999
Pleurobrachia,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Noctiluca,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Zooplankton,-999,-999,-999,-999,-999,1.329938,-999,-999,3.025022,2.513747,1.000015,29.77326,1.686633,1.135851,-999,1.911004,1.038672,1.045065,-999
Phytoplankton,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.313626,1.028172
POM,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,4.718817,-999,-999,1.214809,1.205566,1.189583
Detritus,-999,-999,-999,-999,-999,-999,5.960643,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
