EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:40:27"
ModelName,"Generic 37"
EcosimScenario,"an example"
TimeSeries,(none)
StartYear,0

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0,0,0,0,0.01000003,0.04000019,0.01200003,0.02000011,0.05000013,0.4000014,0.1000001,0.09999988,0.05000013,0.2000011,0.1300004,0.8000032,0,0.02000005,0.200001,0.02500007,0.5000033,0,0,0,0,0.1000002,0.1999993,0.400004,0.05000011,0,0,0,0,0,0,0,0
2,0,0,0,0,0.01000001,0.04000011,0.01200001,0.02000008,0.05000005,0.3999999,0.1000004,0.1000002,0.05,0.2,0.13,0.7999997,0,0.02000001,0.2000002,0.025,0.5000008,0,0,0,0,0.1000005,0.2000004,0.4000014,0.0500003,0,0,0,0,0,0,0,0
3,0,0,0,0,0.01000001,0.04000005,0.012,0.02000006,0.05,0.3999991,0.1000006,0.1000004,0.04999994,0.1999995,0.1299998,0.799998,0,0.01999998,0.1999997,0.02499997,0.4999998,0,0,0,0,0.1000007,0.2,0.4000002,0.05000036,0,0,0,0,0,0,0,0
4,0,0,0,0,0.01,0.04000003,0.012,0.02000006,0.04999999,0.3999986,0.1000007,0.1000004,0.04999991,0.1999993,0.1299997,0.7999974,0,0.01999997,0.1999996,0.02499996,0.4999995,0,0,0,0,0.1000007,0.1999989,0.3999996,0.05000036,0,0,0,0,0,0,0,0
5,0,0,0,0,0.009970251,0.03988135,0.01196436,0.01994039,0.04985155,0.3988312,0.09970111,0.09970134,0.049853,0.1994239,0.1296181,0.7976761,0,0.01994096,0.1994192,0.02492652,0.4985607,0,0,0,0,0.09970537,0.1994018,0.3988751,0.04985031,0,0,0,0,0,0,0,0
6,0,0,0,0,0.01123847,0.04493882,0.01348347,0.02248473,0.05617796,0.4484913,0.1124811,0.1124587,0.05610776,0.2238703,0.1458648,0.8963799,0,0.02245432,0.2240974,0.02805348,0.5596911,0,0,0,0,0.112281,0.2247971,0.4465165,0.05624987,0,0,0,0,0,0,0,0
7,0,0,0,0,0.01267771,0.05065662,0.01520363,0.02538404,0.06333606,0.5033561,0.1271367,0.1270577,0.06308412,0.2503308,0.1639621,1.004543,0,0.02527382,0.2511481,0.03153962,0.6259115,0,0,0,0,0.1264221,0.2537372,0.4965741,0.06360435,0,0,0,0,0,0,0,0
8,0,0,0,0,0.01426886,0.05694828,0.01710025,0.0286066,0.07121933,0.5619931,0.1435669,0.1433839,0.0706303,0.2778557,0.183503,1.118923,0,0.02834589,0.2797687,0.0353072,0.6949121,0,0,0,0,0.1419024,0.2859866,0.5468872,0.07187292,0,0,0,0,0,0,0,0
9,0,0,0,0,0.01421474,0.05666914,0.01702472,0.02853648,0.07088272,0.5555482,0.1435374,0.1432684,0.07000523,0.2730949,0.1818044,1.10356,0,0.02814167,0.2759654,0.03498607,0.68331,0,0,0,0,0.1410742,0.2855805,0.5344412,0.07191176,0,0,0,0,0,0,0,0
10,0,0,0,0,0.01540454,0.06132598,0.0184354,0.03098037,0.07672199,0.5961254,0.1562991,0.1558896,0.07537217,0.2908813,0.1956384,1.180721,0,0.03036355,0.2953162,0.03765487,0.7282969,0,0,0,0,0.152524,0.3105584,0.5654489,0.07838013,0,0,0,0,0,0,0,0
11,0,0,0,0,0.01603234,0.063728,0.01917115,0.032311,0.07973751,0.6136887,0.163597,0.1630392,0.07787962,0.2969854,0.2020243,1.21163,0,0.03144749,0.3031173,0.03888894,0.7442639,0,0,0,0,0.1584154,0.3247353,0.5738642,0.08212747,0,0,0,0,0,0,0,0
12,0,0,0,0,0.01664085,0.06604005,0.01988235,0.03362003,0.08263402,0.6294491,0.1709361,0.1702126,0.08019909,0.3018419,0.2079001,1.238465,0,0.03246757,0.3099135,0.04002286,0.7573407,0,0,0,0,0.1641562,0.339085,0.5802269,0.08590924,0,0,0,0,0,0,0,0
13,0,0,0,0,0.0174095,0.06897143,0.02078305,0.03527527,0.08629621,0.6498826,0.1802226,0.179302,0.08316796,0.3084577,0.2154322,1.273845,0,0.03376648,0.3188586,0.04147373,0.7750987,0,0,0,0,0.1715109,0.357364,0.5901277,0.09068272,0,0,0,0,0,0,0,0
14,0,0,0,0,0.01865914,0.07377861,0.02225401,0.03794133,0.0922939,0.6858137,0.1949617,0.1937697,0.08821984,0.3215859,0.2283158,1.338407,0,0.03593954,0.3351186,0.04395407,0.8095639,0,0,0,0,0.1835809,0.386415,0.6119112,0.09821868,0,0,0,0,0,0,0,0
15,0,0,0,0,0.01849843,0.07301763,0.02204568,0.0377579,0.09130122,0.6698279,0.1952033,0.1938371,0.08658465,0.3103482,0.2238861,1.301828,0,0.03539066,0.3260518,0.0430951,0.7829642,0,0,0,0,0.1819955,0.3870565,0.5890616,0.09843896,0,0,0,0,0,0,0,0
16,0,0,0,0,0.01901257,0.07492259,0.02264302,0.03897462,0.09361816,0.677662,0.2028447,0.2012464,0.08804537,0.3099609,0.2274518,1.311459,0,0.03611597,0.3285428,0.04377156,0.7839323,0,0,0,0,0.1871775,0.4024911,0.587394,0.1023722,0,0,0,0,0,0,0,0
17,0,0,0,0,0.01967569,0.07741061,0.02341831,0.04053124,0.09663299,0.6894923,0.2125024,0.2106369,0.09007063,0.3109743,0.2324554,1.328406,0,0.03709044,0.3328466,0.0447212,0.7887063,0,0,0,0,0.1939455,0.4219968,0.5886393,0.107299,0,0,0,0,0,0,0,0
18,0,0,0,0,0.02096531,0.08234206,0.02493687,0.04343414,0.1026609,0.720477,0.2296248,0.2273734,0.09470688,0.3197188,0.244155,1.381108,0,0.03917615,0.3460827,0.04695716,0.8134364,0,0,0,0,0.2069287,0.4562062,0.6037821,0.1159688,0,0,0,0,0,0,0,0
19,0,0,0,0,0.02072072,0.08127213,0.02463582,0.04318795,0.1011572,0.6987737,0.2303056,0.2278465,0.09239433,0.3051234,0.2379449,1.33323,0,0.03839105,0.3340779,0.04574098,0.7789982,0,0,0,0,0.2050859,0.4580669,0.5765397,0.116268,0,0,0,0,0,0,0,0
