                              Time ,0-12 Snook                         ,3-12 Snook                         ,12-48 Snook                        ,48-90 Snook                        ,90+ Snook                          ,0-3 Red Drum                       ,3-8 Red Drum                       ,8-18 Red Drum                      ,18-36 Red Drum                     ,36+ Red Drum                       ,0-3 Sea Trout                      ,3-18 Sea Trout                     ,18+ Sea Trout                      ,0-3 Sand Trout                     ,3-12 Sand Trout                    ,12+ Sand Trout                     ,0-6 Mullet                         ,6-18 Mullet                        ,18+ Mullet                         ,Mackrel 0-3                        ,Mackrel 3+                         ,Ladyfish 0-10                      ,Ladyfish 10+                       ,Jacks                              ,Bay Anchovy                        ,Pin Fish                           ,Spot                               ,Silver Perch                       ,Scaled Sardine                     ,Mojarra                            ,Threadfin Herring                  ,Manhaden                           ,Menidia (silverside)               ,Catfish                            ,Bumper                             ,Caridan Shrimp                     ,Shrimp                             ,Stone Crab                         ,Blue Crab                          ,Cyprinodontids                     ,Poecilids                          ,Pigfish                            ,Gobies                             ,Rays                               ,Benthic Invertebrates              ,Macro Zooplankton                  ,Micro Zoolplankton                 ,Infauna                            ,Attached Microalgae                ,Sea Grass                          ,Phytoplankton                      ,Detritus                           ,
            0.0000000,            0.0002196,            0.0187198,            0.2299200,            0.0996195,            0.0202409,            0.0002739,            0.0041581,            0.0272603,            0.1082595,            0.3004005,            0.0000910,            0.0259714,            0.2200553,            0.0000197,            0.0025233,            0.1000147,            0.0648558,            0.5224702,            2.8005550,            0.0000012,            0.0183388,            0.0097870,            0.0889999,            0.0239329,            0.3850913,            0.3200000,            0.6900000,            0.0900000,            0.0800000,            0.1815000,            0.0389000,            0.1208906,            0.1364400,            0.0565000,            0.0370000,            1.2587900,            0.0800000,            0.0824825,            0.1220000,            0.9000000,            0.0500000,            0.1000000,            0.0256392,            4.0000000,            6.4808803,            1.2072432,            0.7862260,           20.0000000,           29.7779999,          175.6170044,           25.0000000,           10.0000000,
                0.000000000,                0.000183653,                0.017860854,                0.227886125,                0.099303387,                0.020345923,                0.000216722,                0.003800805,                0.026942335,                0.107641369,                0.300013751,                0.000076418,                0.025621267,                0.218912810,                0.000015773,                0.002461111,                0.099577770,                0.054747209,                0.493888736,                2.677763224,                0.000001070,                0.018301418,                0.009080241,                0.087316737,                0.023927713,                0.377679378,                0.317613304,                0.684048235,                0.089338385,                0.079184689,                0.180323601,                0.038443990,                0.119086631,                0.133956835,                0.056466773,                0.036602139,                1.227255940,                0.077740647,                0.081670634,                0.120772451,                0.868573129,                0.048551727,                0.099955209,                0.025567958,                3.997810602,                6.071738720,                0.901977658,                0.594016075,               18.915168762,               18.139614105,               99.392585754,               15.027446747,                7.910307884,
                0.083333336,                0.000138295,                0.016268790,                0.223572522,                0.098586686,                0.020222750,                0.000147808,                0.003179312,                0.026238941,                0.106297694,                0.298505753,                0.000058271,                0.024914620,                0.216279253,                0.000010958,                0.002343161,                0.098600909,                0.039413251,                0.444016993,                2.500901937,                0.000000846,                0.018166494,                0.007856112,                0.083901413,                0.023888322,                0.353328496,                0.311547577,                0.667630792,                0.087004751,                0.076354846,                0.175835818,                0.036919668,                0.114395581,                0.125876486,                0.056278363,                0.035357133,                1.151951194,                0.070655316,                0.078764200,                0.116326511,                0.817548096,                0.046064600,                0.099695735,                0.025242042,                3.988571882,                5.315270424,                0.605713367,                0.404468983,               17.280853271,               12.584403992,               61.219360352,               10.054002762,                5.909386158,
                0.166666657,                0.000100254,                0.014395306,                0.217276305,                0.097374573,                0.019999916,                0.000092334,                0.002536989,                0.025086436,                0.104060858,                0.295739919,                0.000042884,                0.023802854,                0.211842135,                0.000007188,                0.002166102,                0.096817806,                0.024403255,                0.384491473,                2.305090427,                0.000000668,                0.017913122,                0.006593622,                0.078829482,                0.023792971,                0.319560438,                0.302585810,                0.643472016,                0.083415523,                0.072094366,                0.168227762,                0.034715917,                0.107966006,                0.114556588,                0.055841420,                0.033552680,                1.054787755,                0.061443578,                0.074350864,                0.109426700,                0.740770817,                0.042265117,                0.099038243,                0.024557512,                3.969362020,                4.479905605,                0.401804507,                0.261348844,               15.504607201,                9.880414963,               40.082565308,                7.438355446,                4.387726784,
                0.250000000,                0.000069215,                0.012521608,                0.209351867,                0.095655568,                0.019678844,                0.000049897,                0.001968366,                0.023559352,                0.100968279,                0.291667342,                0.000030138,                0.022358412,                0.205729917,                0.000004370,                0.001949683,                0.094216630,                0.011977583,                0.323446244,                2.112060785,                0.000000510,                0.017536767,                0.005505182,                0.072037652,                0.023636138,                0.282738060,                0.291573703,                0.614455044,                0.079048328,                0.067052580,                0.158331513,                0.032202631,                0.100757040,                0.102045141,                0.055127744,                0.031466935,                0.951568127,                0.052020300,                0.069065705,                0.101056166,                0.638396442,                0.037179656,                0.097840130,                0.023472596,                3.937664509,                3.709173679,                0.276657224,                0.165766746,               13.790942192,                8.919978142,               28.209304810,                6.233404160,                3.372538567,
                0.333333343,                0.000045151,                0.010745971,                0.200008377,                0.093432881,                0.019272672,                0.000029651,                0.001500185,                0.021776270,                0.097106367,                0.286391675,                0.000020278,                0.020677859,                0.198164433,                0.000002713,                0.001716012,                0.090906329,                0.005700359,                0.266856819,                1.929858088,                0.000000377,                0.017050942,                0.004615429,                0.063416220,                0.023421915,                0.246871829,                0.279221356,                0.582851231,                0.074275486,                0.061719242,                0.147064388,                0.029624699,                0.093381226,                0.089657158,                0.054150935,                0.029290972,                0.851759195,                0.043467127,                0.063438490,                0.092086345,                0.516581655,                0.031074060,                0.095996924,                0.021981550,                3.890853167,                3.057146788,                0.201635510,                0.104245998,               12.208935738,                8.483989716,               20.372816086,                5.529106140,                2.708688736,
                0.416666657,                0.000038780,                0.009085448,                0.189340189,                0.090710171,                0.018798206,                0.000028889,                0.001126453,                0.019863289,                0.092575237,                0.280096203,                0.000017093,                0.018857449,                0.189639270,                0.000002348,                0.001483695,                0.087049618,                0.003635491,                0.217974782,                1.762586951,                0.000000300,                0.016477192,                0.003842721,                0.052955013,                0.023153234,                0.213975504,                0.266067088,                0.550230265,                0.069347501,                0.056404810,                0.135193110,                0.027116340,                0.086177640,                0.078074470,                0.052945260,                0.027136317,                0.759963989,                0.036180094,                0.057819415,                0.083122507,                0.396710515,                0.024610916,                0.093439989,                0.020108439,                3.825834990,                2.530596256,                0.156277314,                0.065576613,               10.779659271,                8.350010872,               15.020611763,                5.130828857,                2.282333612,
                0.499999970,                0.000038065,                0.007549166,                0.177586615,                0.087526344,                0.018265398,                0.000028207,                0.000813972,                0.017948389,                0.087506555,                0.272978395,                0.000016782,                0.016987788,                0.180519253,                0.000002172,                0.001264866,                0.082820050,                0.002934339,                0.177619159,                1.614871264,                0.000000286,                0.015838834,                0.003127781,                0.043484956,                0.022820011,                0.184991479,                0.252580106,                0.517802298,                0.064438887,                0.051305372,                0.123316973,                0.024750208,                0.079349600,                0.067635909,                0.051553454,                0.025070546,                0.678969562,                0.030260617,                0.052451216,                0.074587412,                0.312626660,                0.019629030,                0.090305120,                0.017918082,                3.738946676,                2.125381708,                0.130507007,                0.042142905,                9.519520760,                8.757045746,               11.610907555,                5.169169903,                2.053062201,
                0.583333313,                0.000034895,                0.006241629,                0.165583730,                0.084056683,                0.017690439,                0.000025232,                0.000562983,                0.016143393,                0.082193531,                0.265228420,                0.000015568,                0.015173851,                0.171143457,                0.000001885,                0.001067012,                0.078386918,                0.002856051,                0.145854756,                1.491948128,                0.000000275,                0.015158866,                0.002526642,                0.036048304,                0.022428392,                0.160345241,                0.239208311,                0.486629099,                0.059683070,                0.046553984,                0.111913361,                0.022569783,                0.073037878,                0.058518786,                0.050022043,                0.023139857,                0.611216426,                0.025737714,                0.047530465,                0.066810340,                0.255438983,                0.016090419,                0.086697690,                0.015621336,                3.625961542,                1.839341283,                0.120846793,                0.028720355,                8.447216034,                9.901943207,                9.672271729,                5.813804150,                2.021435499,
                0.666666627,                0.000033211,                0.005201885,                0.154004931,                0.080457546,                0.017089952,                0.000024655,                0.000429822,                0.014468396,                0.076879412,                0.257026076,                0.000014441,                0.013490233,                0.161749542,                0.000001774,                0.000893361,                0.073910549,                0.003322903,                0.122201964,                1.396511316,                0.000000254,                0.014459339,                0.002052894,                0.030285824,                0.021991197,                0.140300527,                0.226344883,                0.457622141,                0.055191219,                0.042249151,                0.101374522,                0.020605583,                0.067342073,                0.050822444,                0.048399668,                0.021378273,                0.558588207,                0.022622159,                0.043225840,                0.060060862,                0.218895465,                0.013692709,                0.082675025,                0.013583607,                3.499060392,                1.669415474,                0.126461163,                0.021647237,                7.577995777,               11.528385162,                8.645574570,                6.996629715,                2.172637939,
