"Number of groups incl. import",53
"Number of predators",48
Prey/Pred,"0-12 Snook","3-12 Snook","12-48 Snook","48-90 Snook","90+ Snook","0-3 Red Drum","3-8 Red Drum","8-18 Red Drum","18-36 Red Drum","36+ Red Drum","0-3 Sea Trout","3-18 Sea Trout","18+ Sea Trout","0-3 Sand Trout","3-12 Sand Trout","12+ Sand Trout","0-6 Mullet","6-18 Mullet","18+ Mullet","Mackrel 0-3","Mackrel 3+","Ladyfish 0-10","Ladyfish 10+",Jacks,"Bay Anchovy","Pin Fish",Spot,"Silver Perch","Scaled Sardine",Mojarra,"Threadfin Herring",Manhaden,"Menidia (silverside)",Catfish,Bumper,"Caridan Shrimp",Shrimp,"Stone Crab","Blue Crab",Cyprinodontids,Poecilids,Pigfish,Gobies,Rays,"Benthic Invertebrates","Macro Zooplankton","Micro Zoolplankton",Infauna
"0-12 Snook",0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-12 Snook",0,0,0,0.0020002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12-48 Snook",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-90 Snook",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90+ Snook",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-3 Red Drum",0,0,9.998899E-06,0.000100009995,0,0,0,0,0.00100010016,0,0,0,0.000100009995,0,0,9.999E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-8 Red Drum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100010016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-18 Red Drum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-36 Red Drum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36+ Red Drum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-3 Sea Trout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050005,0,0,0,0,0,0
"3-18 Sea Trout",0,0,0,0.02480248,0.0018446598,0,0,0,0,0,0,0,0.0030003,0,0,0,0,0,0,0,0.00142204156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18+ Sea Trout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007922803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-3 Sand Trout",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-12 Sand Trout",0,0,0,0,0.008349513,0,0,0,0,0,0,0,0,0,0,0.0039996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12+ Sand Trout",0,0,0,0,0.00368931959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0-6 Mullet",0,0.005,0.0009999,0.0020002,0.0462135822,0,0,0.00600000052,0.00600060076,0.00329967,0,0,0.120011993,0,0,0,0,0,0,0.000965043961,0,0,0.00101988786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-18 Mullet",0,0,0,0,0.008349513,0,0,0.0130000012,0.0110011008,0.04579542,0,0,0.0010001,0,0,0,0,0,0,0,0.0001015744,0,0,0,0,0,0,0,0,0,0,0,0,9.999E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18+ Mullet",0,0,0,0,0.0379611552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001015744,0,0,0,0,0,0,0,0,0,0,0,0,9.998899E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackrel 0-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00009E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mackrel 3+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ladyfish 0-10",0,0,0.0009999,0,0.0291262064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380038023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ladyfish 10+",0,0,0,0,0.00368931959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380038023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07668867,0,0,0.00400040066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bay Anchovy",0,0,0.0009999,0.09910991,0.192524239,0,0,0.0190000013,0.0569056943,0.04029597,0,0.04980001,0.156215623,0,0.426442653,0.430356979,0,0,0,0.166845381,0.437480956,0.1,0.248954609,0.375537574,0,0,0,0.0530946925,0,0,0,0,0,0.178182185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pin Fish",0,0.005,0.05009499,0.2280228,0.0194174722,0,0,0.00600000052,0.0280028041,0.0231976788,0,0,0.1011101,0,0,0.0019998,0,0,0,0.000965043961,0.00264093443,0,0,0.190219045,0,0,0,0.0179982,0,0,0,0,0,0.0009999,0,0,0,0,0,0,0,0.122712269,0,0,0,0,0,0
Spot,0,0,0.019998,0.03070307,0.00368931959,0,0,0.0320000052,0.0280028041,0.0159984,0,0,0.0080008,0,0.010001,0.049995,0,0,0,0.00203731516,0.222244784,0,0.00203977572,0.0761076137,0,0,0,0.0019998,0,0,0,0,0,0.0019998,0,0,0,0,0,0,0,0.122712269,0,0,0,0,0,0
"Silver Perch",0,0,0.0049995,0.03070307,0.0443689227,0,0,0.128900021,0.00600060076,0.00549945,0,0.04980001,0.0300029982,0,0.0050005,0.128887117,0,0,0,0.00203731516,0.114982225,0,0.00101988786,0.0380038023,0,0,0,0.0019998,0,0,0,0,0,0.0019998,0,0,0,0,0,0,0,0.07210721,0,0,0,0,0,0
