"Number of groups",52
"Number of detrital groups incl. export",2
"Number of detrital groups",1
Groups,Detritus1,Export
"0-12 Snook",1,0
"3-12 Snook",1,0
"12-48 Snook",1,0
"48-90 Snook",1,0
"90+ Snook",1,0
"0-3 Red Drum",1,0
"3-8 Red Drum",1,0
"8-18 Red Drum",1,0
"18-36 Red Drum",1,0
"36+ Red Drum",1,0
"0-3 Sea Trout",1,0
"3-18 Sea Trout",1,0
"18+ Sea Trout",1,0
"0-3 Sand Trout",1,0
"3-12 Sand Trout",1,0
"12+ Sand Trout",1,0
"0-6 Mullet",1,0
"6-18 Mullet",1,0
"18+ Mullet",1,0
"Mackrel 0-3",1,0
"Mackrel 3+",1,0
"Ladyfish 0-10",1,0
"Ladyfish 10+",1,0
Jacks,1,0
"Bay Anchovy",1,0
"Pin Fish",1,0
Spot,1,0
"Silver Perch",1,0
"Scaled Sardine",1,0
Mojarra,1,0
"Threadfin Herring",1,0
Manhaden,1,0
"Menidia (silverside)",1,0
Catfish,1,0
Bumper,1,0
"Caridan Shrimp",1,0
Shrimp,1,0
"Stone Crab",1,0
"Blue Crab",1,0
Cyprinodontids,1,0
Poecilids,1,0
Pigfish,1,0
Gobies,1,0
Rays,1,0
"Benthic Invertebrates",1,0
"Macro Zooplankton",1,0
"Micro Zoolplankton",1,0
Infauna,1,0
"Attached Microalgae",1,0
"Sea Grass",1,0
Phytoplankton,1,0
Detritus,0,1
