"Number of months",480
"Number of groups",22
"Group number",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"Forcing type",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Group name",Dolphins,Bonito,Bluefish,"A. Mackerel",Whiting,Turbot,"R. Mullet",Dogfish,"H. Mackerel",Shad,Sprat,"Anchovy 0-0+","Anchovy 1-1+",Aurelia,Beroe,Mnemiopsis,Pleurobrachia,Noctiluca,Zooplankton,Phytoplankton,POM,Detritus
"Month 1",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 2",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 3",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 4",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 5",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 6",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 7",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 8",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 9",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 10",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 11",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 12",0.3,0.5,0.5,0.5121,0.1297,0.3434,0.2,0.113,0.34607,0.537,0.0411,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 13",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 14",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 15",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 16",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 17",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 18",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 19",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 20",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 21",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 22",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 23",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 24",0.3,0.5,0.5,0.4599,0.1297,0.3434,0.2,0.113,0.24251,0.537,0.02002,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 25",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 26",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 27",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 28",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 29",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 30",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 31",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 32",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 33",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 34",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 35",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 36",0.3,0.5,0.5,0.3712,0.1297,0.3434,0.2,0.113,0.38221,0.537,0.03096,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 37",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 38",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
"Month 39",0.3,0.5,0.5,0.5345,0.1297,0.3434,0.2,0.113,0.44987,0.537,0.0316,-999,0.2795,-999,-999,-999,-999,-999,-999,-999,-999,-999
