EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:40:27"
ModelName,"Generic 37"
EcosimScenario,"an example"
TimeSeries,(none)
StartYear,0

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,0.001,0.002000001,0.003000001,0.001000001,0.1000003,0.3000015,0.1000003,0.3000017,0.400001,1.200004,5.000005,2.499997,0.2000005,0.4000022,0.5000014,2.000008,5,0.1000003,0.5000024,0.1000003,1.000007,1.000002,0.5000016,0.2000003,1.000054,0.5000011,1.999993,0.5000049,10.00002,15.00014,0.1000003,2.000003,1.000007,9.999826,14.99984,1.999995,99.99437
2,0.001,0.002000001,0.003000001,0.001000001,0.1000001,0.3000008,0.1000001,0.3000012,0.4000004,1.2,5.000021,2.500005,0.2,0.4,0.4999999,1.999999,5.00001,0.1,0.5000004,0.1,1.000002,1.000007,0.5000025,0.2000003,1.000072,0.5000027,2.000004,0.5000017,10.00006,15.00059,0.1000007,2.000004,1.000029,10.00003,14.99989,1.999999,99.99496
3,0.001,0.002000001,0.003000001,0.001000001,0.1000001,0.3000004,0.1,0.300001,0.4,1.199997,5.00003,2.500009,0.1999997,0.399999,0.4999992,1.999995,5.000015,0.09999993,0.4999994,0.0999999,0.9999996,1.00001,0.500003,0.2000003,1.000063,0.5000033,2,0.5000002,10.00007,15.00058,0.1000008,2.000005,1.000037,10.00004,14.99992,2,99.99523
4,0.001,0.002000001,0.003,0.001000001,0.1,0.3000003,0.09999999,0.3000009,0.3999999,1.199996,5.000033,2.500011,0.1999996,0.3999986,0.4999989,1.999994,5.000018,0.09999987,0.499999,0.09999985,0.9999989,1.000011,0.5000032,0.2000003,1.000041,0.5000033,1.999989,0.4999996,10.00007,15.00035,0.1000008,2.000005,1.000034,9.999987,14.99996,2,99.9953
5,0.001,0.002000001,0.003000001,0.001000001,0.1000025,0.3000102,0.100003,0.3000059,0.4000124,1.200094,5.000055,2.500034,0.200012,0.4000479,0.5000312,2.000191,5.000011,0.1000049,0.5000482,0.1000061,1.000122,1.00001,0.5000033,0.2000003,1.000017,0.5000269,2.000018,0.5000942,10.00006,15.00007,0.1000005,2.000004,1.000026,9.999947,14.99999,2,99.99535
6,0.001,0.001999996,0.002999984,0.0009999998,0.0998975,0.2995922,0.09987757,0.2997965,0.3994877,1.195977,4.999158,2.499083,0.1994943,0.3979917,0.4986832,1.991955,5.000368,0.09979696,0.4979942,0.09974571,0.9950064,1.000058,0.5000033,0.2000002,0.9999967,0.4990266,1.998196,0.4961294,9.999977,15.00016,0.100004,2.000006,1.000048,9.999975,15.00001,2,99.99525
7,0.0009999995,0.001999978,0.002999915,0.0009999976,0.09966752,0.2986829,0.09960451,0.2993402,0.39834,1.187161,4.997511,2.497204,0.1983777,0.3936019,0.4957731,1.974337,5.001897,0.09934677,0.4936087,0.09918119,0.9841375,1.000266,0.5000036,0.2000002,0.9999856,0.4969421,1.99479,0.4879856,10.00069,15.00103,0.1000192,2.000015,1.000162,10.00002,15,2,99.99479
8,0.0009999978,0.001999932,0.002999743,0.0009999929,0.09929615,0.2972248,0.09916639,0.2986075,0.3964889,1.173263,4.995368,2.4945,0.1966049,0.3867163,0.4911489,1.946629,5.00562,0.09862873,0.4867236,0.0982803,0.9671705,1.000772,0.5000047,0.2000006,0.9999802,0.4937455,1.990164,0.4757195,10.00319,15.0029,0.1000565,2.00004,1.000425,9.999986,14.99998,1.999996,99.99384
9,0.000999995,0.00199985,0.00299943,0.0009999861,0.09891956,0.295768,0.09872836,0.2978756,0.394615,1.159808,4.994342,2.492492,0.1948649,0.3800903,0.4866025,1.919902,5.012198,0.09791812,0.4801069,0.09738641,0.9510229,1.001668,0.5000072,0.2000017,0.9999697,0.4908635,1.987338,0.4648932,10.0086,15.00523,0.1001222,2.000085,1.000837,9.999737,14.99998,1.999984,99.99258
10,0.0009999909,0.00199972,0.002998935,0.0009999778,0.09843156,0.2938945,0.09816507,0.2969364,0.3921891,1.142732,4.993582,2.490249,0.1926445,0.3717332,0.4808022,1.886136,5.022266,0.09700815,0.4717511,0.09624248,0.9307309,1.003039,0.5000117,0.2000042,0.9999413,0.487297,1.984398,0.4516364,10.01663,15.00761,0.1002225,2.000154,1.001385,9.999322,15.00004,1.99996,99.99095
11,0.0009999851,0.001999536,0.002998218,0.0009999699,0.09787756,0.2917949,0.09753332,0.2958883,0.3894384,1.123972,4.993804,2.488388,0.1901822,0.3626195,0.474369,1.849252,5.036593,0.09599356,0.4626333,0.09496689,0.9087472,1.004984,0.5000188,0.2000088,0.9998891,0.4835636,1.982511,0.4379305,10.02777,15.00963,0.100364,2.000252,1.002062,9.998746,15.00019,1.999921,99.98911
12,0.0009999779,0.001999287,0.002997245,0.000999965,0.09725804,0.2894801,0.0968359,0.2947402,0.386366,1.103651,4.99521,2.487034,0.1874906,0.3528251,0.4673384,1.809564,5.055845,0.09487893,0.4528251,0.09356601,0.8852609,1.007586,0.5000294,0.2000163,0.9998114,0.4797083,1.981794,0.4238946,10.04199,15.01089,0.1005518,2.000383,1.002843,9.998072,15.00043,1.999861,99.98713
13,0.0009999694,0.001998967,0.002995984,0.0009999665,0.0965585,0.2869028,0.09605775,0.2934715,0.3829005,1.081336,4.997855,2.486162,0.1845102,0.3421605,0.4595594,1.766285,5.080736,0.09363972,0.4421223,0.0920105,0.8597878,1.010928,0.5000441,0.2000276,0.9997122,0.4756265,1.982052,0.409129,10.05909,15.01115,0.1007913,2.000552,1.00371,9.997381,15.00074,1.99978,99.98506
14,0.0009999595,0.001998567,0.002994398,0.0009999784,0.09573699,0.2839095,0.09515142,0.2920061,0.3788359,1.05564,5.001582,2.485501,0.1810566,0.3300009,0.450558,1.716787,5.112201,0.09219994,0.4298596,0.09020845,0.830748,1.015124,0.5000639,0.2000437,0.9996008,0.4709618,1.982632,0.392452,10.07888,15.0104,0.1010895,2.000765,1.004662,9.996758,15.00109,1.999673,99.9828
15,0.0009999486,0.001998082,0.002992463,0.001000006,0.09491242,0.2809811,0.09426063,0.2905944,0.3747613,1.031033,5.007781,2.486367,0.1777007,0.3184691,0.4418166,1.669867,5.150905,0.09079186,0.4182296,0.08844557,0.8034522,1.020245,0.5000896,0.2000655,0.9994871,0.4668946,1.985923,0.3777973,10.10148,15.00834,0.1014501,2.001025,1.005669,9.996182,15.00148,1.99954,99.98049
16,0.000999937,0.001997508,0.002990163,0.001000055,0.09402856,0.2779028,0.09331941,0.2891292,0.3703983,1.005433,5.015941,2.48821,0.1741748,0.3065884,0.4326482,1.621487,5.197339,0.08930753,0.4062102,0.08659063,0.7754028,1.026338,0.5001218,0.2000939,0.9993781,0.4628523,1.990559,0.3631268,10.12584,15.00477,0.1018751,2.001336,1.00669,9.995735,15.00188,1.999378,99.97803
17,0.000999925,0.001996843,0.002987485,0.001000133,0.09307325,0.2746356,0.09231438,0.2875916,0.3656877,0.9784659,5.026074,2.490976,0.1704269,0.2942047,0.422923,1.570963,5.252185,0.08772573,0.3936217,0.0846191,0.7461743,1.033471,0.5001612,0.2001296,0.9992836,0.4587168,1.9962,0.3480601,10.15127,14.99979,0.1023676,2.001699,1.00771,9.995459,15.00227,1.999191,99.97538
18,0.0009999129,0.001996079,0.00298441,0.001000246,0.09199348,0.2709809,0.09118351,0.2858763,0.3603716,0.9484121,5.037841,2.494223,0.1662253,0.2805781,0.4120482,1.515037,5.316405,0.08595031,0.3796431,0.08241713,0.7138538,1.041749,0.500208,0.2001733,0.9992112,0.4539901,2.001782,0.3311661,10.17716,14.99376,0.1029334,2.002121,1.008735,9.995367,15.00263,1.99898,99.97242
19,0.0009999011,0.001995216,0.002980936,0.001000401,0.09092025,0.2674598,0.09008271,0.284256,0.3550933,0.9198426,5.052777,2.499413,0.1621664,0.2677696,0.4015677,1.462516,5.390675,0.08422784,0.3664742,0.08028254,0.6836316,1.051232,0.5002627,0.2002254,0.9991634,0.4499472,2.009947,0.316224,10.20343,14.98666,0.1035747,2.002604,1.00974,9.995337,15.00295,1.998748,99.96927
20,0.0009998903,0.001994255,0.002977076,0.001000609,0.08985591,0.2640812,0.08901346,0.2827352,0.3498621,0.8926637,5.070855,2.50653,0.1582438,0.2557079,0.3914694,1.413177,5.475201,0.08255816,0.3540511,0.0782146,0.6552868,1.061919,0.5003251,0.2002862,0.9991346,0.4465433,2.020262,0.3028959,10.22871,14.97827,0.1042894,2.003149,1.010665,9.995338,15.00327,1.998498,99.96601
21,0.0009998807,0.001993197,0.00297284,0.001000877,0.08869449,0.2604305,0.08784843,0.2810881,0.3441623,0.8633206,5.090951,2.514421,0.1539846,0.2428643,0.3805406,1.360246,5.57054,0.08074484,0.3406741,0.07598118,0.624869,1.073854,0.5003946,0.2003557,0.9991196,0.4426973,2.03012,0.2882027,10.25152,14.96898,0.1050784,2.003755,1.011492,9.995393,15.00359,1.998238,99.96262
22,0.000999873,0.001992044,0.002968259,0.001001214,0.08754898,0.2569494,0.08672,0.2795459,0.3385438,0.8354945,5.114379,2.52436,0.1498782,0.2308179,0.3700434,1.31069,5.677172,0.07899299,0.3280867,0.07382554,0.5963948,1.087066,0.5004707,0.2004334,0.9991131,0.4394962,2.041765,0.275062,10.27152,14.95902,0.1059412,2.004424,1.012196,9.995362,15.00394,1.997973,99.95937
23,0.0009998679,0.0019908,0.002963373,0.001001631,0.08642208,0.2536417,0.08562843,0.2781052,0.3330178,0.8090929,5.141068,2.53631,0.1459174,0.2195031,0.3599623,1.264276,5.795142,0.07730167,0.3162276,0.07174588,0.5696685,1.101527,0.5005521,0.2005189,0.9991028,0.436895,2.054709,0.2632229,10.28736,14.94848,0.1068737,2.005153,1.012723,9.995169,15.00434,1.997714,99.95641
24,0.0009998657,0.001989473,0.002958227,0.001002137,0.08525083,0.2502546,0.08449577,0.2766187,0.3272806,0.7820512,5.170238,2.54951,0.1418248,0.2080704,0.3495871,1.217093,5.924693,0.07555426,0.3041183,0.06960685,0.5424644,1.117236,0.5006371,0.200611,0.9990767,0.4342092,2.067073,0.250996,10.29767,14.93781,0.1078735,2.005942,1.013049,9.994766,15.00485,1.997468,99.95386
