EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:42:53"
ModelName,"Tampa Bay"
EcosimScenario,"TampaBay Flabay Nut better fix seagrass"
TimeSeries,(none)
StartYear,0

Data,Catch

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1,0,0,0.0198231,0.03488896,0,0,0,0,0.004971451,0.0004993561,0,0,0.04974041,0,0,0.01642791,0,0.236325,0.4780775,0,0.004989823,0,0.009810913,0,0.0196151,0.0009925453,0,0.0009926476,0.0009898103,0,0,0.009850805,0,0.009994119,0,0,0.0009717593,0,0.09800391,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0.01944786,0.03463716,0,0,0,0,0.004909391,0.0004968461,0,0,0.04914202,0,0,0.01626675,0,0.2124615,0.4465014,0,0.004953037,0,0.009427167,0,0.01835042,0.0009735902,0,0.0009667194,0.0009544376,0,0,0.009462766,0,0.009960772,0,0,0.0008831926,0,0.09439616,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0.01890017,0.0342113,0,0,0,0,0.00480608,0.0004922426,0,0,0.04813384,0,0,0.01597259,0,0.1839786,0.411542,0,0.004883955,0,0.008857284,0,0.01659665,0.0009455847,0,0.0009268397,0.0009011816,0,0,0.008930915,0,0.009883437,0,0,0.0007680457,0,0.08879714,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0.01821085,0.03360735,0,0,0,0,0.004663249,0.0004854639,0,0,0.04674504,0,0,0.01554345,0,0.1547685,0.3770792,0,0.004781343,0,0.00809416,0,0.01468424,0.0009111717,0,0.0008783155,0.0008381591,0,0,0.008334591,0,0.009757124,0,0,0.0006502544,0,0.08200464,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0.01739809,0.03282644,0,0,0,0,0.004484884,0.0004766828,0,0,0.04502605,0,0,0.01499734,0,0.1276905,0.3445494,0,0.004648884,0,0.007125457,0,0.0128215,0.0008725704,0,0.0008252841,0.0007714923,0,0,0.007724466,0,0.009584238,0,0,0.0005433395,0,0.07472585,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0.0164701,0.03186984,0,0,0,0,0.004275614,0.0004662046,0,0,0.04308901,0,0,0.01436108,0,0.1043005,0.3146854,0,0.004492452,0,0.005950034,0,0.011113,0.0008314631,0,0.0007705286,0.0007050617,0,0,0.007128587,0,0.009370845,0,0,0.0004522514,0,0.06745191,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0.01544769,0.03075126,0,0,0,0,0.004041516,0.0004543574,0,0,0.0410168,0,0,0.0136633,0,0.0849904,0.2883129,0,0.004318406,0,0.004885976,0,0.009607685,0.0007893161,0,0.0007159885,0.0006413185,0,0,0.006563773,0,0.009124507,0,0,0.0003782578,0,0.06052588,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0.0144036,0.02953223,0,0,0,0,0.003796133,0.000441458,0,0,0.03888648,0,0,0.01293194,0,0.06979116,0.2663667,0,0.004133014,0,0.00405039,0,0.008327659,0.000747529,0,0.000663146,0.000581926,0,0,0.00604167,0,0.008853462,0,0,0.0003217214,0,0.05421497,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0.0133964,0.02826772,0,0,0,0,0.003550699,0.0004278055,0,0,0.03675203,0,0,0.01219345,0,0.05847333,0.2493277,0,0.003942291,0,0.003402916,0,0.007286619,0.0007073305,0,0.0006132364,0.0005281154,0,0,0.005570515,0,0.008566315,0,0,0.0002827769,0,0.04873792,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0.01246289,0.0269983,0,0,0,0,0.003314708,0.0004137781,0,0,0.0346799,0,0,0.01147126,0,0.05048171,0.2367139,0,0.003751721,0,0.002911407,0,0.006486738,0.000669513,0,0.0005672601,0.0004807425,0,0,0.005153895,0,0.008271597,0,0,0.0002603976,0,0.04423194,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0.01162448,0.02575317,0,0,0,0,0.003094224,0.0003996879,0,0,0.03271723,0,0,0.01078423,0,0.04496425,0.2273758,0,0.003565791,0,0.002544275,0,0.005907741,0.0006343054,0,0.0005258293,0.000440106,0,0,0.004789272,0,0.007976882,0,0,0.0002513108,0,0.04069832,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0.01087832,0.02454138,0,0,0,0,0.002890831,0.0003857632,0,0,0.03087354,0,0,0.01014384,0,0.04099754,0.2204404,0,0.003387786,0,0.002270973,0,0.0055084,0.0006019722,0,0.0004896788,0.0004058593,0,0,0.004470181,0,0.007687991,0,0,0.0002509266,0,0.03801893,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0.01021829,0.0233794,0,0,0,0,0.002707811,0.0003721572,0,0,0.02916854,0,0,0.009551643,0,0.03768314,0.215369,0,0.003219711,0,0.002069492,0,0.005243,0.0005722413,0,0.0004583982,0.0003772524,0,0,0.004189372,0,0.007408859,0,0,0.0002553123,0,0.03603548,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0.009622173,0.02227881,0,0,0,0,0.002547425,0.0003589643,0,0,0.0276132,0,0,0.009004324,0,0.03411228,0.2119588,0,0.003062554,0,0.001921759,0,0.005071114,0.0005448142,0,0.0004314024,0.0003534064,0,0,0.003940272,0,0.007141854,0,0,0.0002616763,0,0.03459107,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0.009093596,0.02124892,0,0,0,0,0.00241172,0.0003462507,0,0,0.02621445,0,0,0.008506058,0,0.03042362,0.2103989,0,0.002916749,0,0.001815747,0,0.004966333,0.0005195462,0,0.0004081706,0.0003335783,0,0,0.003719089,0,0.006888283,0,0,0.0002688103,0,0.03356875,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0.008638485,0.02029623,0,0,0,0,0.002302733,0.0003340643,0,0,0.02497597,0,0,0.008059748,0,0.0291224,0.2094834,0,0.00278234,0,0.001741024,0,0.004918137,0.0004963348,0,0.0003883642,0.000317314,0,0,0.003523731,0,0.006649057,0,0,0.0002768053,0,0.03290739,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0.00826364,0.0194239,0,0,0,0,0.002223207,0.0003224535,0,0,0.0238995,0,0,0.007667335,0,0.03195009,0.2078487,0,0.002659099,0,0.001688571,0,0.004913514,0.0004749587,0,0.0003716394,0.0003041645,0,0,0.003350961,0,0.006424707,0,0,0.0002850621,0,0.03253293,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0.00796165,0.01863327,0,0,0,0,0.002168171,0.0003114686,0,0,0.02297169,0,0,0.007324095,0,0.03782604,0.2056332,0,0.00254657,0,0.001667163,0,0.004936683,0.000455215,0,0.000357592,0.0002936082,0,0,0.003197543,0,0.006215219,0,0,0.0002928093,0,0.03236463,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0.007723258,0.01792476,0,0,0,0,0.002113401,0.0003011427,0,0,0.02214623,0,0,0.007025287,0,0.04639089,0.2029057,0,0.00244416,0,0.001692137,0,0.004980457,0.0004369897,0,0.0003459024,0.0002852606,0,0,0.003061752,0,0.006020308,0,0,0.0003001552,0,0.03235783,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0.007543795,0.01730046,0,0,0,0,0.00204002,0.0002915264,0,0,0.02134783,0,0,0.006767839,0,0.05643503,0.2007959,0,0.002351526,0,0.00177162,0,0.005050111,0.0004203307,0,0.0003364338,0.0002790106,0,0,0.002944666,0,0.005839795,0,0,0.0003081293,0,0.03251452,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0.007418077,0.01676287,0,0,0,0,0.001962725,0.0002826726,0,0,0.02058524,0,0,0.006549638,0,0.0666995,0.1997968,0,0.002268516,0,0.001905129,0,0.005162143,0.0004053026,0,0.0003292723,0.0002750571,0,0,0.002848672,0,0.005674047,0,0,0.0003183396,0,0.03288338,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0.007349644,0.01631833,0,0,0,0,0.001896762,0.0002746822,0,0,0.01990568,0,0,0.006372565,0,0.07730773,0.20155,0,0.002195745,0,0.002098457,0,0.005340169,0.000392168,0,0.0003247283,0.0002738959,0,0,0.00277949,0,0.005523984,0,0,0.0003325824,0,0.03353679,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0.007334183,0.01597013,0,0,0,0,0.001853059,0.0002676398,0,0,0.01935629,0,0,0.006238219,0,0.08797981,0.2051846,0,0.002133854,0,0.002347403,0,0.005617576,0.0003810323,0,0.0003234376,0.0002764237,0,0,0.0027429,0,0.005391533,0,0,0.0003529502,0,0.03458807,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0.007360449,0.01571622,0,0,0,0,0.001827351,0.0002616046,0,0,0.01894015,0,0,0.006147907,0,0.09834296,0.2096486,0,0.00208325,0,0.002642624,0,0.005976912,0.0003716051,0,0.0003254719,0.0002826707,0,0,0.002736618,0,0.005278184,0,0,0.0003767195,0,0.03596913,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0.007419696,0.01555262,0,0,0,0,0.001815262,0.0002565912,0,0,0.01863931,0,0,0.006102096,0,0.1077487,0.2144817,0,0.00204357,0,0.002972309,0,0.006377961,0.0003635507,0,0.0003303608,0.0002918931,0,0,0.002754756,0,0.005184049,0,0,0.0004006709,0,0.03754588,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0.00750747,0.01547447,0,0,0,0,0.001812347,0.0002525815,0,0,0.01843555,0,0,0.00609976,0,0.115333,0.2197585,0,0.002013844,0,0.00332465,0,0.00678701,0.0003566117,0,0.0003375078,0.0003032139,0,0,0.002791994,0,0.005108126,0,0,0.0004229221,0,0.03920015,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0.007620289,0.01547522,0,0,0,0,0.001813629,0.0002495302,0,0,0.01831434,0,0,0.006137772,0,0.1199431,0.2255054,0,0.001992674,0,0.003687158,0,0.007181227,0.0003505554,0,0.0003463558,0.0003158652,0,0,0.002843654,0,0.005048796,0,0,0.0004425515,0,0.04084161,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0.007754655,0.01554872,0,0,0,0,0.001814148,0.0002473958,0,0,0.01826395,0,0,0.006210012,0,0.1219976,0.2319818,0,0.001978691,0,0.004052787,0,0.007546464,0.0003452513,0,0.0003564243,0.0003292078,0,0,0.002906282,0,0.0050041,0,0,0.0004592791,0,0.04240609,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0.007899406,0.0156865,0,0,0,0,0.001808484,0.0002461311,0,0,0.01828043,0,0,0.006306786,0,0.1229926,0.238268,0,0.001970373,0,0.004413004,0,0.00787806,0.0003405872,0,0.0003674377,0.0003428458,0,0,0.002977119,0,0.004972139,0,0,0.0004734568,0,0.04386649,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0.008042709,0.01588069,0,0,0,0,0.00179171,0.0002457218,0,0,0.01836455,0,0,0.006419172,0,0.1247334,0.243747,0,0.001966362,0,0.004763306,0,0.008164073,0.000336438,0,0.0003789606,0.0003562381,0,0,0.003051951,0,0.004950911,0,0,0.0004847472,0,0.04518127,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0.008178591,0.01612607,0,0,0,0,0.001759671,0.0002462028,0,0,0.01852623,0,0,0.00654107,0,0.1283706,0.248528,0,0.001965574,0,0.005104608,0,0.008410034,0.0003328135,0,0.0003908064,0.0003692405,0,0,0.003130476,0,0.004938616,0,0,0.0004941695,0,0.04636345,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0.008315744,0.01642536,0,0,0,0,0.001709833,0.0002477165,0,0,0.01877897,0,0,0.006672835,0,0.134922,0.2541031,0,0.001967983,0,0.005451267,0,0.008659317,0.0003300176,0,0.0004034947,0.0003827048,0,0,0.003221974,0,0.004934469,0,0,0.0005050605,0,0.04752922,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0.008482726,0.01679725,0,0,0,0,0.00164179,0.0002506097,0,0,0.0191523,0,0,0.006825895,0,0.1462733,0.2633711,0,0.001975662,0,0.005841337,0,0.009028074,0.0003288529,0,0.0004190625,0.0003995192,0,0,0.003354679,0,0.004940184,0,0,0.0005248471,0,0.04898436,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0.008699062,0.01726327,0,0,0,0,0.001555969,0.0002553834,0,0,0.01968266,0,0,0.007016149,0,0.162732,0.275647,0,0.001991762,0,0.006297188,0,0.009642725,0.0003299444,0,0.0004406597,0.0004238723,0,0,0.00356235,0,0.004960832,0,0,0.0005602663,0,0.05108666,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0.008969815,0.01784044,0,0,0,0,0.001449357,0.0002626826,0,0,0.02039355,0,0,0.007258397,0,0.1829904,0.2893859,0,0.00201928,0,0.006822204,0,0.01050305,0.0003333165,0,0.0004695168,0.000457108,0,0,0.003851413,0,0.005001794,0,0,0.0006081546,0,0.05386807,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0.009287869,0.01853996,0,0,0,0,0.001344046,0.0002720862,0,0,0.021281,0,0,0.007559218,0,0.2048701,0.3034709,0,0.002059425,0,0.007403377,0,0.01151942,0.000338756,0,0.0005046491,0.0004974963,0,0,0.004204642,0,0.005066156,0,0,0.000661655,0,0.0571638,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0.009637799,0.01936607,0,0,0,0,0.001327951,0.0002804602,0,0,0.02232362,0,0,0.00791606,0,0.2261095,0.3172196,0,0.002111435,0,0.008016367,0,0.01258539,0.0003460027,0,0.000544043,0.0005420209,0,0,0.004595797,0,0.0051543,0,0,0.0007147351,0,0.06075681,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0.009997901,0.02031561,0,0,0,0,0.001460502,0.0002852477,0,0,0.02349452,0,0,0.008319006,0,0.2447781,0.3299845,0,0.002172988,0,0.008627588,0,0.01361007,0.0003547433,0,0.0005854924,0.0005875777,0,0,0.004997893,0,0.005264427,0,0,0.0007630009,0,0.06442975,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0.01034484,0.02138016,0,0,0,0,0.001674002,0.000288252,0,0,0.02476524,0,0,0.008753933,0,0.2599208,0.3413836,0,0.002240931,0,0.009198562,0,0.01452236,0.0003646231,0,0.000626881,0.0006313619,0,0,0.005386627,0,0.005393066,0,0,0.0008033002,0,0.06797417,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0.01065608,0.02254734,0,0,0,0,0.001909338,0.0002911232,0,0,0.02609681,0,0,0.009204553,0,0.2701296,0.3513079,0,0.002311728,0,0.009686803,0,0.0152785,0.0003752796,0,0.0006664907,0.0006712591,0,0,0.00574381,0,0.005535708,0,0,0.0008340494,0,0.07122064,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0.01091306,0.02380238,0,0,0,0,0.002128342,0.0002949514,0,0,0.02742443,0,0,0.009654802,0,0.2741098,0.3598366,0,0.002381988,0,0.01004644,0,0.01585844,0.0003863671,0,0.0007030515,0.0007058755,0,0,0.006057765,0,0.005687394,0,0,0.0008548678,0,0.07404512,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0.01110544,0.02513029,0,0,0,0,0.002337663,0.0002992657,0,0,0.02863791,0,0,0.01009104,0,0.271581,0.3673385,0,0.002448875,0,0.01022984,0,0.01626786,0.0003976309,0,0.0007358606,0.0007346568,0,0,0.006324764,0,0.005843308,0,0,0.0008667745,0,0.076389,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0.01123694,0.02651877,0,0,0,0,0.002540489,0.0003036611,0,0,0.02963264,0,0,0.01050397,0,0.2641005,0.3745321,0,0.002510477,0,0.01017349,0,0.01654083,0.0004089887,0,0.0007649158,0.0007580193,0,0,0.006550143,0,0.005999474,0,0,0.0008723922,0,0.07828039,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0.01131895,0.02795958,0,0,0,0,0.00273723,0.0003078678,0,0,0.03046502,0,0,0.0108892,0,0.2544326,0.3819653,0,0.002565864,0,0.009789503,0,0.01672979,0.0004205001,0,0.0007908083,0.0007771424,0,0,0.006745139,0,0.006153319,0,0,0.0008752059,0,0.07982148,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0.01136456,0.02944505,0,0,0,0,0.002926998,0.0003117217,0,0,0.0311908,0,0,0.01124693,0,0.2440404,0.3897717,0,0.00261498,0,0.008969429,0,0.01688112,0.0004322546,0,0.00081427,0.0007933105,0,0,0.006920516,0,0.006303634,0,0,0.0008778802,0,0.08112784,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0.01138443,0.03096218,0,0,0,0,0.003108534,0.00031511,0,0,0.03182848,0,0,0.0115786,0,0.2334617,0.3972629,0,0.002657981,0,0.007969598,0,0.01701304,0.000444189,0,0.0008356774,0.0008072264,0,0,0.007079825,0,0.006449963,0,0,0.000880955,0,0.08226325,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0.01138869,0.03249006,0,0,0,0,0.003280699,0.0003179545,0,0,0.03241484,0,0,0.01188491,0,0.2229516,0.4035816,0,0.002694866,0,0.007258886,0,0.0171052,0.0004560296,0,0.0008546868,0.0008185573,0,0,0.007217336,0,0.006591554,0,0,0.0008824282,0,0.08319315,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0.01141739,0.03387531,0,0,0,0,0.003441542,0.0003201894,0,0,0.03297021,0,0,0.01216477,0,0.2126411,0.4084015,0,0.00272537,0,0.006745293,0,0.01712838,0.000467448,0,0.0008706716,0.0008265797,0,0,0.007325545,0,0.006726896,0,0,0.0008801674,0,0.08384621,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0.01156131,0.03474021,0,0,0,0,0.003589737,0.0003217595,0,0,0.03349588,0,0,0.01241604,0,0.2024827,0.4118858,0,0.002749131,0,0.00636422,0,0.01706877,0.0004781764,0,0.0008832068,0.0008308609,0,0,0.007400658,0,0.006854047,0,0,0.0008733999,0,0.08417618,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0.0119229,0.03461971,0,0,0,0,0.003725477,0.0003226178,0,0,0.03392798,0,0,0.01263682,0,0.190528,0.4145946,0,0.002765924,0,0.006070656,0,0.01692913,0.0004880218,0,0.0008921716,0.000831391,0,0,0.007442715,0,0.006971125,0,0,0.000862481,0,0.08417436,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0.01240541,0.03384355,0,0,0,0,0.003849747,0.0003227021,0,0,0.03412351,0,0,0.01282605,0,0.1739978,0.4173776,0,0.002775733,0,0.005833434,0,0.01671932,0.000496826,0,0.000897626,0.0008283942,0,0,0.007453293,0,0.00707657,0,0,0.0008481154,0,0.08385421,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0.0129095,0.032772,0,0,0,0,0.003961645,0.0003221742,0,0,0.03417289,0,0,0.01298384,0,0.1534802,0.4206043,0,0.002778817,0,0.005632086,0,0.01645117,0.0005044852,0,0.0008997221,0.0008221971,0,0,0.00743505,0,0.007169191,0,0,0.0008310524,0,0.08324073,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0.01335577,0.03168873,0,0,0,0,0.004067291,0.0003213337,0,0,0.03414942,0,0,0.01311037,0,0.133233,0.422967,0,0.00277563,0,0.005452615,0,0.01614,0.0005109439,0,0.0008987386,0.0008132669,0,0,0.007391629,0,0.007248248,0,0,0.0008122516,0,0.08237609,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0.01372912,0.03061306,0,0,0,0,0.004158503,0.000320546,0,0,0.0340827,0,0,0.01320433,0,0.1213107,0.4213092,0,0.00276669,0,0.005281061,0,0.01579422,0.0005161114,0,0.0008948839,0.0008019408,0,0,0.007324834,0,0.007313343,0,0,0.0007920717,0,0.08128993,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0.01402918,0.02953513,0,0,0,0,0.004229382,0.0003200463,0,0,0.03400242,0,0,0.01326262,0,0.1223698,0.4145107,0,0.002752776,0,0.005110018,0,0.01542427,0.0005200332,0,0.0008884135,0.0007886038,0,0,0.007238772,0,0.007364304,0,0,0.0007710974,0,0.08001865,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0.01426911,0.0284611,0,0,0,0,0.004285383,0.0003198241,0,0,0.03396185,0,0,0.0132806,0,0.1311897,0.4063885,0,0.002735288,0,0.004949984,0,0.0150797,0.0005232001,0,0.0008803562,0.0007746773,0,0,0.007149238,0,0.00740198,0,0,0.0007528416,0,0.07871069,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0.01446893,0.0274063,0,0,0,0,0.004335774,0.0003197828,0,0,0.03401821,0,0,0.01325183,0,0.1440595,0.3994488,0,0.002716233,0,0.004820049,0,0.01484009,0.0005263114,0,0.00087253,0.0007625758,0,0,0.007078069,0,0.007429234,0,0,0.0007423665,0,0.07761241,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0.01464067,0.02638405,0,0,0,0,0.004383468,0.0003199895,0,0,0.0342035,0,0,0.01319145,0,0.1569488,0.3937384,0,0.002697574,0,0.004719574,0,0.01473442,0.0005296104,0,0.0008661541,0.0007537592,0,0,0.007032822,0,0.007450078,0,0,0.000740329,0,0.0768533,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0.01479086,0.0254018,0,0,0,0,0.004420455,0.0003206379,0,0,0.03450454,0,0,0.01312178,0,0.1669243,0.3890314,0,0.002680644,0,0.004639129,0,0.01471283,0.0005328798,0,0.0008609603,0.0007475882,0,0,0.007003413,0,0.007467422,0,0,0.0007421157,0,0.07634772,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0.01492208,0.02446082,0,0,0,0,0.004437787,0.0003217901,0,0,0.03485979,0,0,0.01305863,0,0.1705592,0.3857805,0,0.002665751,0,0.004567592,0,0.0147111,0.0005358257,0,0.0008560971,0.0007426559,0,0,0.006976566,0,0.007482331,0,0,0.0007434485,0,0.07595325,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0.01502991,0.02357204,0,0,0,0,0.004433381,0.0003232327,0,0,0.03519121,0,0,0.01300397,0,0.1627536,0.3854907,0,0.002652452,0,0.004534228,0,0.01468109,0.0005381765,0,0.0008507373,0.0007376689,0,0,0.006941621,0,0.007494484,0,0,0.0007417388,0,0.0755415,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0.01510707,0.02275278,0,0,0,0,0.004412926,0.0003245496,0,0,0.0354433,0,0,0.01295066,0,0.1466624,0.3873852,0,0.002640019,0,0.004581077,0,0.01459747,0.0005397521,0,0.000844307,0.0007317533,0,0,0.006892636,0,0.007502808,0,0,0.000736041,0,0.0750241,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0.01514528,0.02202033,0,0,0,0,0.004385155,0.0003253695,0,0,0.03557063,0,0,0.01289211,0,0.1340075,0.3874796,0,0.002627669,0,0.004716281,0,0.01445703,0.0005404627,0,0.00083658,0.0007245589,0,0,0.006828173,0,0.007506113,0,0,0.000726803,0,0.07436619,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0.01514029,0.02137631,0,0,0,0,0.004357811,0.0003255535,0,0,0.03555686,0,0,0.01282316,0,0.1294336,0.3840511,0,0.002614741,0,0.00492539,0,0.0142648,0.0005402532,0,0.0008274924,0.0007159847,0,0,0.00674852,0,0.007503396,0,0,0.0007147502,0,0.07355882,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0.01509388,0.02080338,0,0,0,0,0.004335505,0.0003251182,0,0,0.0354133,0,0,0.0127401,0,0.1330589,0.3769771,0,0.002600714,0,0.00518422,0,0.01402824,0.0005390942,0,0.0008170492,0.0007060389,0,0,0.006654716,0,0.007493894,0,0,0.0007005883,0,0.07260706,0,0,0,0,0,0,0,0,0,0,0,0,0
