EwEVersion,"6.6.15613.0 (compiled 02/10/2018)"
Date,"02/10/2018 09:42:53"
ModelName,"Tampa Bay"
EcosimScenario,"TampaBay Flabay Nut better fix seagrass"
TimeSeries,(none)
StartYear,0

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1,0.0001836563,0.0178609,0.227886,0.09930327,0.02034592,0.0002167297,0.003800858,0.0269423,0.1076413,0.3000136,7.641819E-05,0.02562129,0.2189128,1.577309E-05,0.002461109,0.0995777,0.05474866,0.4938914,2.677765,1.069619E-06,0.01830145,0.009080347,0.08731705,0.02392768,0.3776801,0.3176145,0.6840483,0.08933828,0.07918482,0.1803236,0.03844408,0.1190869,0.1339571,0.05646677,0.0366022,1.227252,0.07774074,0.08167063,0.1207725,0.8685727,0.04855153,0.09995522,0.025568,3.997816,6.071758,0.9019912,0.5940216,18.91527,18.13961,99.39259,15.02744,7.910303
2,0.0001382961,0.01626882,0.2235724,0.09858658,0.02022275,0.0001478088,0.003179344,0.02623892,0.1062976,0.2985056,5.827114E-05,0.02491463,0.2162793,1.0958E-05,0.002343162,0.09860083,0.03941391,0.4440194,2.500903,8.462919E-07,0.01816652,0.007856185,0.0839017,0.02388829,0.3533294,0.3115488,0.6676311,0.08700474,0.076355,0.175836,0.03691978,0.1143959,0.1258769,0.05627836,0.03535721,1.151948,0.07065541,0.0787642,0.1163266,0.8175479,0.04606444,0.09969585,0.02524215,3.988581,5.315285,0.6057175,0.4044724,17.28096,12.5844,61.21936,10.054,5.90938
3,0.0001002549,0.01439532,0.2172761,0.09737447,0.01999992,9.233485E-05,0.002537005,0.02508643,0.1040607,0.2957399,4.28854E-05,0.02380286,0.2118421,7.188006E-06,0.002166104,0.09681778,0.02440359,0.3844936,2.305092,6.677848E-07,0.01791315,0.006593668,0.07882975,0.02379294,0.3195612,0.3025871,0.6434724,0.08341557,0.07209452,0.168228,0.03471602,0.1079663,0.1145571,0.05584142,0.03355275,1.054786,0.06144365,0.07435086,0.1094268,0.7407711,0.04226503,0.09903844,0.02455767,3.969375,4.479915,0.4018056,0.2613509,15.5047,9.880413,40.08257,7.438351,4.38772
4,6.921559E-05,0.01252161,0.2093516,0.09565546,0.01967885,4.989783E-05,0.001968373,0.02355935,0.1009681,0.2916672,3.013894E-05,0.02235841,0.2057299,4.369869E-06,0.001949685,0.09421659,0.01197777,0.3234479,2.112062,5.104333E-07,0.01753679,0.005505208,0.07203796,0.02363611,0.2827387,0.2915749,0.6144555,0.0790484,0.06705272,0.1583318,0.03220273,0.1007573,0.1020456,0.05512775,0.03146701,0.9515664,0.05202035,0.0690657,0.1010562,0.6383972,0.03717964,0.0978404,0.02347278,3.93768,3.70918,0.2766573,0.1657679,13.79103,8.919976,28.2093,6.2334,3.372533
5,4.515087E-05,0.01074597,0.2000082,0.0934328,0.01927268,2.965127E-05,0.001500188,0.02177627,0.0971062,0.2863915,2.027798E-05,0.02067785,0.1981644,2.712859E-06,0.001716014,0.09090632,0.005700393,0.2668582,1.929859,3.769011E-07,0.01705096,0.004615446,0.0634165,0.02342189,0.2468723,0.2792225,0.5828516,0.07427557,0.06171937,0.1470647,0.02962479,0.09338146,0.08965755,0.05415094,0.02929104,0.8517578,0.04346716,0.06343849,0.0920864,0.5165827,0.03107411,0.09599724,0.02198175,3.89087,3.05715,0.2016354,0.1042467,12.20901,8.483988,20.37281,5.529102,2.708683
6,3.877967E-05,0.009085445,0.18934,0.09071006,0.01879821,2.888853E-05,0.001126454,0.01986329,0.0925751,0.2800962,1.709266E-05,0.01885744,0.1896393,2.348199E-06,0.001483697,0.08704961,0.003635493,0.2179758,1.762588,3.003569E-07,0.01647721,0.003842734,0.05295525,0.02315321,0.2139759,0.2660682,0.5502307,0.06934758,0.05640493,0.1351934,0.02711642,0.08617786,0.07807481,0.05294527,0.02713638,0.7599627,0.03618011,0.05781941,0.08312256,0.3967113,0.02461101,0.09344034,0.02010863,3.825854,2.530598,0.1562771,0.06557703,10.77973,8.350008,15.02061,5.130825,2.282329
7,3.806518E-05,0.007549162,0.1775864,0.08752627,0.01826541,2.820743E-05,0.0008139737,0.01794839,0.08750644,0.2729784,1.678163E-05,0.01698778,0.1805193,2.171981E-06,0.001264868,0.08282004,0.002934332,0.1776199,1.614872,2.862489E-07,0.01583886,0.003127793,0.04348514,0.02281999,0.1849918,0.2525811,0.5178027,0.06443896,0.05130548,0.1233172,0.02475028,0.07934979,0.06763619,0.05155347,0.0250706,0.6789684,0.03026062,0.05245121,0.07458745,0.3126272,0.0196291,0.09030548,0.01791825,3.738967,2.125383,0.1305068,0.04214316,9.519579,8.757043,11.61091,5.169167,2.053057
8,3.489514E-05,0.006241624,0.1655835,0.0840566,0.01769045,2.52324E-05,0.0005629846,0.01614339,0.08219343,0.2652284,1.556802E-05,0.01517384,0.1711435,1.884589E-06,0.001067013,0.07838693,0.002856041,0.1458553,1.491949,2.748866E-07,0.01515888,0.002526652,0.03604844,0.02242837,0.1603455,0.2392092,0.4866295,0.05968314,0.04655408,0.1119136,0.02256984,0.07303806,0.05851902,0.05002206,0.02313991,0.6112154,0.02573771,0.04753046,0.06681036,0.2554393,0.01609047,0.08669806,0.01562148,3.625983,1.839341,0.1208466,0.02872051,8.447267,9.901941,9.672271,5.8138,2.021431
9,3.321124E-05,0.005201879,0.1540048,0.08045746,0.01708996,2.465498E-05,0.0004298209,0.01446839,0.07687932,0.257026,1.44409E-05,0.01349022,0.1617496,1.774227E-06,0.0008933621,0.07391055,0.003322886,0.1222024,1.396512,2.540106E-07,0.01445936,0.002052903,0.03028593,0.02199118,0.1403007,0.2263457,0.4576225,0.05519127,0.04224923,0.1013747,0.02060564,0.06734224,0.05082263,0.04839968,0.02137832,0.5585872,0.02262215,0.04322583,0.06006087,0.2188957,0.01369274,0.08267538,0.01358372,3.499081,1.669415,0.1264609,0.02164734,7.57804,11.52838,8.645574,6.996625,2.172633
10,3.3726E-05,0.004402713,0.1432732,0.07684436,0.01647942,2.59887E-05,0.0004523321,0.01290957,0.07176968,0.2485983,1.405327E-05,0.01199193,0.15263,1.807418E-06,0.0007433044,0.06953302,0.004515704,0.1055008,1.325861,2.432577E-07,0.01376039,0.001684392,0.0259115,0.02152099,0.1248993,0.2142441,0.4313716,0.0510534,0.0384594,0.09200013,0.01887811,0.0623057,0.04457362,0.04673452,0.0198069,0.5210291,0.02083181,0.0396449,0.05450805,0.2032109,0.01223813,0.07832824,0.01181499,3.372958,1.600946,0.1448044,0.01834594,6.897651,12.99195,7.992269,8.281561,2.431877
11,3.543143E-05,0.003767142,0.1336348,0.07330037,0.01587167,2.80803E-05,0.0005541045,0.01152827,0.06699578,0.2401329,1.413232E-05,0.01069941,0.143992,1.906731E-06,0.0006096753,0.06536856,0.006391981,0.09396997,1.273557,2.399378E-07,0.01307845,0.001411187,0.02264402,0.0210293,0.113751,0.2029777,0.4080124,0.04732463,0.03520847,0.08395189,0.01739002,0.05789776,0.0396864,0.04506939,0.01842859,0.4961087,0.02010487,0.03678601,0.05015349,0.2045408,0.01167063,0.07377432,0.01030752,3.248697,1.603847,0.1688201,0.01704336,6.359111,13.85046,7.368661,9.221624,2.693136
